#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
1,Give You Up - Darius Remix,Crayon,2013,108,51,85,-9,66,0.2256944444,37,49,5606
2,Feelin' Good - Edit,Laurent Garnier,43651,126,71,59,-13,37,0.1902777778,0,35,7178
3,Under The Moon - Cassius Remix - Edit,Claptone,43224,121,51,78,-11,12,0.1625,1,56,9664
4,Imported Goods,Action Bronson,40417,93,94,62,-6,68,0.1736111111,16,46,8521
5,Easy Rider,Action Bronson,42086,94,85,42,-4,67,0.1798611111,3,52,8232
6,Actin Crazy,Action Bronson,42086,166,62,50,-7,25,0.1659722222,20,54,4472
7,Smile (with Alex Gopher & Asher Roth) - Vocal Mix,Étienne de Crécy,42258,120,74,80,-8,59,0.1430555556,0,43,5131
8,Pleasure - Live,Justice,42937,115,66,62,-7,30,0.1541666667,2,1,2507
9,Intro,Kanye West,38030,80,37,75,-14,37,0.01319444444,31,0,8149
10,We Don't Care,Kanye West,38030,83,74,64,-6,61,0.1666666667,1,15,1125
11,Graduation Day,Kanye West,38030,170,44,42,-9,83,0.05694444444,68,8,1038
12,I'll Fly Away,Kanye West,38030,172,27,24,-11,52,0.04861111111,72,9,2889
13,Spaceship,Kanye West,38030,178,77,52,-5,65,0.225,51,15,2414
14,Jesus Walks,Kanye West,38030,85,84,43,-5,72,0.1347222222,58,26,1776
15,Never Let Me Down,Kanye West,38030,81,81,47,-5,64,0.225,39,14,6873
16,Get Em High,Kanye West,38030,93,65,60,-6,64,0.2006944444,20,14,6496
17,Workout Plan,Kanye West,38030,114,29,71,-14,75,0.03194444444,84,7,1297
18,The New Workout Plan,Kanye West,38030,118,77,70,-5,62,0.2243055556,1,19,8694
19,Slow Jamz,Twista,38030,145,74,57,-6,59,0.2194444444,37,21,3293
20,Breathe In Breathe Out,Kanye West,38030,83,72,53,-3,92,0.1715277778,34,10,9110
21,School Spirit Skit 1,Kanye West,38030,92,20,73,-15,63,0.05486111111,35,5,761
22,School Spirit,Kanye West,38030,86,80,51,-5,65,0.1263888889,29,11,9942
23,School Spirit Skit 2,Kanye West,38030,94,29,74,-13,85,0.03055555556,33,5,8268
24,Lil Jimmy Skit,Kanye West,38030,127,27,60,-12,76,0.0375,78,5,3547
25,Two Words,Kanye West,38030,85,81,56,-5,53,0.1847222222,2,10,9627
26,Through The Wire,Kanye West,38030,83,75,55,-6,62,0.1534722222,1,23,7840
27,Family Business,Kanye West,38030,94,53,73,-7,55,0.19375,16,15,7096
28,Last Call,Kanye West,38030,83,73,51,-7,86,0.5284722222,57,11,7040
29,L'impératrice,L'Impératrice,41204,98,78,69,-8,15,0.2118055556,69,39,3695
30,Vanille fraise,L'Impératrice,2015,103,55,77,-11,66,0.1652777778,4,62,6936
31,Fuck You,CeeLo Green,40491,127,83,69,-6,74,0.1548611111,13,63,569
32,Come and Get Your Love - Single Edit,Redbone,26969,107,80,73,-8,96,0.1430555556,17,77,4752
33,The Makings of You,Curtis Mayfield,1970,76,43,37,-11,57,0.1555555556,76,41,9040
34,all my friends,21 Savage,43455,130,62,71,-5,21,0.1472222222,17,70,2218
35,a lot,21 Savage,43455,146,64,84,-8,27,0.2006944444,4,81,7950
36,break da law,21 Savage,43455,141,57,90,-8,36,0.1236111111,5,60,9807
37,a&t,21 Savage,43455,147,57,92,-5,83,0.1472222222,0,58,4037
38,out for the night,21 Savage,43455,173,70,84,-6,41,0.09513888889,0,60,1317
39,gun smoke,21 Savage,43455,86,46,81,-6,33,0.1159722222,0,60,352
40,1.5,21 Savage,43455,84,52,89,-8,31,0.1034722222,0,67,8277
41,can't leave without it,21 Savage,43455,132,59,87,-7,70,0.1423611111,11,71,5886
42,asmr,21 Savage,43455,170,54,84,-8,16,0.1194444444,4,63,2479
43,ball w/o you,21 Savage,43455,138,63,89,-7,46,0.1354166667,5,69,9878
