TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
Give You Up - Darius Remix,Crayon,2013,108,51,85,-9,66,324.99999993600005,37,49
Feelin' Good - Edit,Laurent Garnier,2019,126,71,59,-13,37,274.000000032,0,35
Under The Moon - Cassius Remix - Edit,Claptone,2018,121,51,78,-11,12,234.0,1,56
Imported Goods,Action Bronson,2010,93,94,62,-6,68,249.999999984,16,46
Easy Rider,Action Bronson,2015,94,85,42,-4,67,258.999999984,3,52
Actin Crazy,Action Bronson,2015,166,62,50,-7,25,238.99999996800003,20,54
Smile (with Alex Gopher & Asher Roth) - Vocal Mix,Étienne de Crécy,2015,120,74,80,-8,59,206.000000064,0,43
Pleasure - Live,Justice,2017,115,66,62,-7,30,222.000000048,2,1
Intro,Kanye West,2004,80,37,75,-14,37,18.999999993600003,31,0
We Don't Care,Kanye West,2004,83,74,64,-6,61,240.000000048,1,15
Graduation Day,Kanye West,2004,170,44,42,-9,83,81.9999999936,68,8
I'll Fly Away,Kanye West,2004,172,27,24,-11,52,69.99999999840001,72,9
Spaceship,Kanye West,2004,178,77,52,-5,65,324.0,51,15
Jesus Walks,Kanye West,2004,85,84,43,-5,72,193.99999996800003,58,26
Never Let Me Down,Kanye West,2004,81,81,47,-5,64,324.0,39,14
Get Em High,Kanye West,2004,93,65,60,-6,64,288.999999936,20,14
Workout Plan,Kanye West,2004,114,29,71,-14,75,45.9999999936,84,7
The New Workout Plan,Kanye West,2004,118,77,70,-5,62,323.000000064,1,19
Slow Jamz,Twista,2004,145,74,57,-6,59,315.99999993600005,37,21
Breathe In Breathe Out,Kanye West,2004,83,72,53,-3,92,247.000000032,34,10
School Spirit Skit 1,Kanye West,2004,92,20,73,-15,63,78.99999999840001,35,5
School Spirit,Kanye West,2004,86,80,51,-5,65,182.000000016,29,11
School Spirit Skit 2,Kanye West,2004,94,29,74,-13,85,44.0000000064,33,5
Lil Jimmy Skit,Kanye West,2004,127,27,60,-12,76,54.0,78,5
Two Words,Kanye West,2004,85,81,56,-5,53,265.999999968,2,10
Through The Wire,Kanye West,2004,83,75,55,-6,62,220.999999968,1,23
Family Business,Kanye West,2004,94,53,73,-7,55,279.0,16,15
Last Call,Kanye West,2004,83,73,51,-7,86,760.999999968,57,11
L'impératrice,L'Impératrice,2012,98,78,69,-8,15,305.00000006399995,69,39
Vanille fraise,L'Impératrice,2015,103,55,77,-11,66,238.000000032,4,62
Fuck You,CeeLo Green,2010,127,83,69,-6,74,222.999999984,13,63
Come and Get Your Love - Single Edit,Redbone,1973,107,80,73,-8,96,206.000000064,17,77
The Makings of You,Curtis Mayfield,1970,76,43,37,-11,57,224.000000064,76,41
all my friends,21 Savage,2018,130,62,71,-5,21,211.999999968,17,70
a lot,21 Savage,2018,146,64,84,-8,27,288.999999936,4,81
break da law,21 Savage,2018,141,57,90,-8,36,177.999999984,5,60
a&t,21 Savage,2018,147,57,92,-5,83,211.999999968,0,58
out for the night,21 Savage,2018,173,70,84,-6,41,137.0000000016,0,60
gun smoke,21 Savage,2018,86,46,81,-6,33,166.999999968,0,60
1.5,21 Savage,2018,84,52,89,-8,31,148.999999968,0,67
can't leave without it,21 Savage,2018,132,59,87,-7,70,204.999999984,11,71
asmr,21 Savage,2018,170,54,84,-8,16,171.999999936,4,63
ball w/o you,21 Savage,2018,138,63,89,-7,46,195.000000048,5,69
good day,21 Savage,2018,122,52,97,-6,12,242.00000006399998,0,54
pad lock,21 Savage,2018,130,55,96,-8,80,191.000000016,2,57
monster,21 Savage,2018,134,61,89,-7,22,233.000000064,16,73
letter 2 my momma,21 Savage,2018,80,61,86,-11,96,195.000000048,5,57
4L,21 Savage,2018,80,41,88,-9,7,288.0,0,62
CHANCES,KAYTRANADA,2018,106,53,84,-7,61,218.00000001600003,20,46
CHANCES (INSTRUMENTAL),KAYTRANADA,2018,106,44,95,-8,66,218.00000001600003,6,19
IT WAS MEANT 2 B,KAYTRANADA,2018,95,58,83,-8,49,240.000000048,0,27
NOTHIN LIKE U (feat. Ty Dolla $ign),KAYTRANADA,2018,105,81,79,-6,77,195.000000048,6,37
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,1979,104,83,70,-7,95,285.000000048,3,75
Paranoid,Post Malone,2018,160,55,61,-6,24,222.000000048,4,74
Spoil My Night (feat. Swae Lee),Post Malone,2018,161,68,67,-3,26,195.000000048,34,73
Rich & Sad,Post Malone,2018,152,59,60,-5,27,206.000000064,19,74
Zack And Codeine,Post Malone,2018,138,84,74,-5,29,204.000000048,14,71
Takin' Shots,Post Malone,2018,120,63,77,-6,58,216.999999936,60,71
rockstar (feat. 21 Savage),Post Malone,2018,160,54,59,-6,14,218.00000001600003,12,86
Over Now,Post Malone,2018,164,76,56,-4,24,247.000000032,13,73
Psycho (feat. Ty Dolla $ign),Post Malone,2018,140,56,74,-8,44,220.999999968,58,83
Better Now,Post Malone,2018,145,56,68,-6,37,231.00000004799998,35,86
Ball For Me (feat. Nicki Minaj),Post Malone,2018,134,56,79,-4,51,206.000000064,49,74
Otherside,Post Malone,2018,105,66,65,-6,14,227.999999952,35,70
Stay,Post Malone,2018,86,47,48,-5,35,204.000000048,41,76
Blame It On Me,Post Malone,2018,122,59,65,-7,32,261.999999936,14,70
Same Bitches (feat. G-Eazy & YG),Post Malone,2018,100,77,73,-5,21,211.999999968,38,72
Jonestown (Interlude),Post Malone,2018,78,50,34,-10,25,112.0000000032,75,62
92 Explorer,Post Malone,2018,146,74,80,-5,88,211.00000003199997,27,73
